Estado,UF,IVS,Renda per capita 2021,% Trabalho Informal 2024,Taxa de analfabetismo (18+) 2021,IDH 2021,IDH Renda 2021,IDH Educação 2021
pernambuco,PE,0.414,447.97,49.7,10.36,0.719,0.647,0.721
santa catarina,SC,0.192,901.2,26.7,1.83,0.792,0.759,0.790
